form_record_id,parent_form_id,parent_field_id,parent_record_id,Date,Observation Method,Cubs#,Cub Age Class,LitterID,Year Summary,Cubs observed at end,Cubs
rec-cebbf887bb1c41a484ca1488eb4861bb,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-1c29b80804c84ae1bd5daafbc7ea6ddc,2020-09-23,Capture,0,,,,,Ada
rec-2ede5d65a91f4a478799c466ab309ab5,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-1c29b80804c84ae1bd5daafbc7ea6ddc,2021-05-13,Aerial,2,COY,1,,1,Ada
rec-30c2e6d9f41a4bda9357a61d683df47f,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-1c29b80804c84ae1bd5daafbc7ea6ddc,2022-05-24,Aerial,1,1YO,1,,,Ada
rec-7d18fe66332f4f9c88fcfdb3132c761a,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-45076e3a0c9d401b9ed6744c7d7c5ff9,2019-08-23,"Capture, Aerial",2,COY,1,,2,Amelie 
rec-8ab70c590c57454187bcda01e5f69870,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-45076e3a0c9d401b9ed6744c7d7c5ff9,2020-05-25,Aerial,2,1YO,1,,2,Amelie 
rec-a17cb8b9fa0747db805481e85ae79d94,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-45076e3a0c9d401b9ed6744c7d7c5ff9,2021-05-13,Aerial,2,2YO,1,,,Amelie 
rec-242d2961fb904a25a3f06c0a998dba89,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-69193bf8d50a481db55282309d91b116,2018-09-20,Capture,2,COY,1,,,Amy
rec-d25604d5aa504939a51334a9744144ae,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-b05f0f17b9dd4fca8e4759b20fffb45d,2017-06-14,Capture,0,,,,,Bailey
rec-a987bef9bdc0493a8817e4a5aa9bbaa6,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-b05f0f17b9dd4fca8e4759b20fffb45d,2018-05-12,ExpertOpinion,0,,,,,Bailey
rec-01b609c8407d427988f68a87e5ca9920,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-b05f0f17b9dd4fca8e4759b20fffb45d,2018-08-17,"Capture, Aerial",0,,,,,Bailey
rec-52921314fe394a83bb1bcafe16df1b9d,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-b05f0f17b9dd4fca8e4759b20fffb45d,2019-05-08,Aerial,0,,,,,Bailey
rec-68e0901d186d4f17952126e07edada87,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-b05f0f17b9dd4fca8e4759b20fffb45d,2019-07-16,Aerial,0,,,,,Bailey
rec-95214d211c954335854d1ae7545079a8,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-b05f0f17b9dd4fca8e4759b20fffb45d,2020-05-25,Aerial,0,,,,,Bailey
