Bear #,Capture ID,WLH ID,WGI ID,Species,Sex,Age Estimate,Tooth Age,Weight (kg),Bear Photo,Capture Reason,Date and Time,Surveyors,Location (latitude),Location (longitude),Location comments,Capture Type,Other Bears at Site?,Collar Brand,Collar Color,Collar Number,L Ear Tag #,L Ear Tag Color,R Ear Tag #,R Ear Tag Color,Neck Size,Snout to Vent Length (natural contours),Snout to Vent Length (straight line),Zoo Length,Chest Girth,Zygomatic Width,Zygomatic Length,Percent Body Fat (grizzly only),GPS Transmit End Date,GPS Transmit End Reason,GPS Data End Date (if different than transmit date),VHF Transmit End Date,VHF Transmit End Reason,Other Detection Date,Other Detection Reason,Fate unknown?
EVGF43,Christina,,10764-a,Grizzly Bear,F,20,,132,,Research,2016-08-15 10:05,"Garth Mowat, Clay Wilson, Bruce McLellan",49.45319,-115.204135,Sand Creek,Helicopter,No,Vectronic,Brown,21404,,,378,Red,58,163,,,105,,,24.12536118,2018-10-27,Connection failure,,2018-10-27,Connection failure,,,Yes
EVGF64,Trish,,cl-Trish,Grizzly Bear,F,9,9,106,8533A24A-EE3F-4E2A-819A-DB563A904382.jpg,Research,2018-05-29 10:11,Clayton Lamb,49.656131,-114.904165,Overpass,Leg Snare,Yes,Follow It,Black,6274,64,Black,64,Black,56.5,157,144,,94.5,17,,16.95742401,2018-08-28,Connection failure,,2018-08-28,Connection failure,,LS confirm,Yes
EVGF72,Phoebe,,18201,Grizzly Bear,F,4,3,112,840B0CDF-3CC0-470D-AC82-37FEDDD668C4.jpg; 119FB9C1-452C-4F85-B09E-C56E4073BCC4.jpg,Research,2017-09-19 11:14,"Clayton Lamb, Laura Smit, Ryan Gordon, Frank Deboon",49.682852,-114.888538,District of Sparwood site,Leg Snare,No,Follow It,Black,6062,72,Black,72,Black,58,163,154,,96,18.8,,25.68332303,2017-11-06,Connection failure,,2017-11-06,Connection failure,,,Yes
EVGM48,Joe,,7040,Grizzly Bear,M,13,13,269,549BBC72-7252-4805-ACDA-0D53FE283E86.jpg,Management,2017-10-22 11:06,"Clayton Lamb, Frank Deboon, Ryan Gordon",49.56824,-115.005956,Hutchinson Farm,Culvert,No,Follow It,Black,6050,382,Red,74,Black,77,190,180,201,,24,,39.15823405,2018-05-13,Connection failure,,2018-05-13,Connection failure,,,Yes
EVGM52,Olson,,14963,Grizzly Bear,M,9,9,236.5,0B3AB46F-9D78-4349-AF93-CC2B8BEE6619.jpg; 54266D6F-888D-436B-B042-DEB632D9736D.jpg,Research,2018-09-28 10:42,"Clayton Lamb, Laura Smit",49.602728,-114.945792,Hosmer (NCC),Leg Snare,No,Follow It,Black,6278,52,Black,49,Black,71.5,202,183,,117,23.9,,32.08312462,2019-04-20,Connection failure,,2019-07-16,Connection failure,,,Yes
EVGM76,Jerry,,14830,Grizzly Bear,M,7,7,189,A13302CC-14BA-483E-9666-145D3DE7783C.jpg; B15C3AF8-66FD-42FA-AB07-FA5E23C656A3.jpg,Research,2018-09-28 8:46,"Clayton Lamb, Laura Smit",49.681998,-114.888206,District of Sparwood,Leg Snare,No,Follow It,Black,6486,76,Black,76,Black,68.5,194,179,,121,22,,31.08602507,2019-07-22,Connection failure,,2019-07-22,Connection failure,,,Yes
EVBM01,Scar,,,Black Bear,M,6,,,42CFA0D2-A652-4199-A56E-4D5D842B4B7F.jpg; 9DB664C2-D6CF-40E3-9DB4-554B226542E7.jpg; 9D4ED886-E825-495A-ADC9-5999FB2B294F.jpg; 6ABCA7EA-C94D-4A7B-8714-484B39778EE5.jpg,Research,2021-09-19 9:48,"Clayton Lamb, Laura Smit",49.64938,-114.726094,Gas Plant,Leg Snare,No,Follow It,Black,6007,111,Black,,,57,,,,,,,,,,,,,,,No
EVGF45,Sue,,cl-Sue,Grizzly Bear,F,7,7,92,27FC5AF2-662B-4BB4-AFDC-C6BD48F87A45~L0~001.jpeg; C22E3F0D-8244-4FEC-968C-4ADB84CCD0B8~L0~001.jpeg,Research,2018-08-17 14:00,"Garth Mowat, Bruce McLellan, Clay Wilson",49.87506,-114.73281,Same cut block as Brittney and Casey. Bears eating V. scoparium. ,Helicopter,Yes,Follow It,Black,6261,250,Black,,,50,153,141,160,86,,,17.64842728,2021-07-08,Rotted,,2021-07-08,Rotted,,,No
EVGF51,Hillary,,cl-Hillary,Grizzly Bear,F,11,,,EB246880-06B2-4F0F-B590-4BB5444E502E~L0~001.jpeg; 7814F8C8-EA52-4D38-9F9C-C7E52790FC51~L0~001.jpeg; 1F2D3BAD-459E-45D9-863A-BA608FC7C1E3~L0~001.png,Management,2016-11-10 13:23,Pat Stent,49.527309,-115.598986,"Power line off Gate 3 road, city fields",Leg Snare,No,Vectronic,Brown,18496,,,164,Yellow,,,,,,,,,2016-11-11,Connection failure,2017-04-10,2016-11-11,Connection failure,2017-04-10,Additional locations on collar,No
EVGF56,Laura,,10744,Grizzly Bear,F,15,,124,349C0542-F247-40BD-BF14-0EC68FAE458F.jpg; 84E3BE89-D000-4A10-A3E9-68DAA01C8C5C.jpg; 8B427B04-C161-46A1-9D38-41BC2789119F.jpg,Research,2017-05-18 8:15,"Clayton Lamb, Garth Mowat, Laura Smit, Stu Clow",49.648084,-114.916464,Olson Pit,Leg Snare,No,Follow It,Black,6054,56,Black,56,Black,68,165,162,,109,19,,28.71166713,2017-06-06,Connection failure,,2017-08-27,Replaced/Recaptured,,,No
