form_record_id,parent_form_id,parent_field_id,parent_record_id,Sample Type,Sample Barcode,Sample Label
rec-ac047e92f53f4e73b22f8659e17d043c,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-2c4545e605614040b98cd23ebc280a22,Hair,8,cl-EV8
rec-d9fd7018f8fb418aacf13126b18a6802,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-2c4545e605614040b98cd23ebc280a22,Tissue,9,cl-EV9
rec-9c7c1005697247fd93224ce37ce9cb2a,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-1d954a65e7d042cca85dd9bb4922bd30,Hair,15240,cl-EV149
rec-a63b4a8841fe4b89b687293ad2faae84,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-1d954a65e7d042cca85dd9bb4922bd30,Hair,15239,cl-EV150
rec-1ef25899390741f4a2fa99b34992fad8,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-58af735d776847249a781462a686249a,Hair,15316,cl-EV108
rec-2c512ff6facf481194c1acc157309edc,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-58af735d776847249a781462a686249a,Hair,15019,cl-EV109
rec-e87c651bb2434674aacdb39d034bc063,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-58af735d776847249a781462a686249a,Tissue,15318,cl-EV110
rec-155153be27a6493cb8d833bb2ce22874,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-58af735d776847249a781462a686249a,Tooth,15328,cl-EV111
rec-cd9fb51a4d504b61a4bf292967714c1e,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-2cd1c4c947454080b1e2c0b6494782fa,Hair,14961,cl-EV118
rec-a21daf8478d747a998b5b37f3d6b3785,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-2cd1c4c947454080b1e2c0b6494782fa,Tissue,14962,cl-EV119
