form_record_id,Bear and Collar Information,Capture ID,Collar Number,GPS/VHF Functioning?,L ear tag color,L ear tag #,R ear tag colour,R ear tag #,Collar Num & Ear tag Photos,Sex,Rump fat thickness (cm),Date & Time,Location (address),Location (latitude),Location (longitude),Location,Surveyor,Site Photos,Photos of Bear as Found,Suspected Date of Mortality,"Photos Pertaining to Mortality (wound, broken bones, etc)",Suspected Cause of Mortality?,Killed by COS,Mortality Reported?,CI Number
rec-f913f1669fbf4e05b15f5d70498b9a14,,Fran,18495,Yes,Red,383,,,,F,,2016-11-06 10:55,,49.662847,-114.907422," [49.662847,-114.907422]",Clayton Lamb,57E13D11-AC43-4506-B3A2-4249DFBF4421.jpg; 9905B623-0734-4E35-837B-43D610B5D89B.jpg,EAF904CF-1C6D-4D8F-A5CF-948452384DC0.jpg; 89149A6D-E721-47C1-B373-C5078FAE6A25.jpg; 2604A2E6-2988-46DA-B774-AE76BB8E8794.jpg,2016-11-02,320EA746-9ECE-44C2-BD6A-ADE54EF291BF.jpg; FA904496-6A61-405A-B783-A80B647120B1.jpg; 0243340A-D279-4317-B7B1-B199222AD0BE.jpg; F672EE0C-53EB-4CCE-87D1-922CAC1274EB.jpg; 998E058D-6B40-4934-8F59-80A5E496BBEA.jpg; 2D100857-F13C-4EC2-878B-DDDAFE4B7532.jpg; C8301127-6097-4E4A-8D09-6857C8DAE92A.jpg; D2B222C1-5EF6-4A3A-BE69-012284BD801C.jpg,"Collision (road OR rail), Predation",No,No,134688
rec-9e49b74763ab4eed8b1b7a92f6111359,,EVGF111,,No,Yellow,4496,Yellow,4490,,F,1.75,2021-10-05 12:38,"4160 Highway 43, Elkford BC V0B 1H0, Canada",49.935498,-114.911657,"4160 Highway 43, Elkford BC V0B 1H0, Canada [49.935498,-114.911657]",Clayton Lamb,IMG_8031.heic; IMG_8014.heic; 8A79D20B-A441-4EE5-8E58-1A081C7228C2.JPG,77B43C7F-4B3B-4BAB-8F88-D4A30E3D5356.jpg; A6988353-AD57-4B57-8A9D-57CF8DF664A5.jpg; C0481A33-F868-4AC5-8CE4-C654FADFF39E.jpg; D25ACFC6-6C6A-4CAF-B86A-559AFC0A4959.JPG; 862516FB-CDBA-4515-95D4-C349579D06C4.JPG,2021-10-03,,Defence of life or property,No,No,150302
rec-c04eb51230334210ac19e99fd93644c8,,Cameo,,No,Red,379,,,66929F16-1EFA-48D5-9EE5-994A54808822.jpg,F,4,2017-09-20 12:56,,50.024801,-114.925976," [50.024801,-114.925976]","Clayton Lamb, Laura Smit, Trish Burley, Frank Deboon",,B0133BE4-0EE0-4247-8DD0-95638745109B.jpg; 49791206-58DC-4427-B601-A241A38DDEAC.jpg; 69846DC4-F2D7-47E0-8F7B-94D8E1D9CC85.jpg; 59D71490-7653-49DF-ABB3-96F79CCD267D.jpg; 6A88331A-7458-46DB-9DD3-E17AE73D7D0B.jpg,2017-09-20,,Defence of life or property ,Yes,Yes,127679
rec-3617fd2b40344bb4a1b0f462e4d3ca15,,Donnie,6058,Yes,Black,61,,,,M,4,2017-09-15 15:05,"940–942 Alpine Way, Elkford BC, Canada",50.017347,-114.922237,"940–942 Alpine Way, Elkford BC, Canada [50.017347,-114.922237]","Clayton Lamb, Laura Smit, Trish Burley",76CAF215-9F17-4EDA-B791-442454A4FA93.jpg; 8E8CBA31-103F-4649-A715-5EE5036B69D9.jpg; C885F334-E38A-4270-9A08-E7BAADF0C9B3.jpg; F752B984-287C-434B-B414-7DF0CAAD38F4.jpg,,2017-09-15,,Defence of life or property ,Yes,Yes,127681
rec-d621f7a336254eac895c7424e9456cb4,,EVGF87,,No,Black,87,Black,87,,F,,2019-09-12 8:38,"390 Michel Creek Rd, Sparwood BC V0B 2G1, Canada",49.740793,-114.867095,"390 Michel Creek Rd, Sparwood BC V0B 2G1, Canada [49.740793,-114.867095]","Ryan Gordon, Jeff Piwek, Clayton Lamb, Laura Smit",,9D02E063-E7F3-4D25-A71B-080DBAAA7849.jpg,2019-09-12,,Defence of life or property ,Yes,Yes,127723
rec-97449c0a3dfd47d2b901ede5c91b3342,,EVGM103,,No,,,Black,103,,M,2,2021-05-17 11:51,,49.521383,-115.06225," [49.521383,-115.062250]",Ryan Gordon,IMG_8778.jpeg,IMG_7575.jpeg,2021-05-17,,Defence of life or property ,Yes,Yes,148314
rec-fee9e016e6d5466c80445f1cc39e34b5,,Gums,,No,Black,99,Black,99,958F9E49-4D74-47B1-A3F4-26F9AF047061.jpg,M,3.3,2021-10-23 10:05,"6829 Bryant Rd, Fernie BC V0B 1M5, Canada",49.568341,-115.006557,"6829 Bryant Rd, Fernie BC V0B 1M5, Canada [49.568341,-115.006557]",Clayton Lamb,3AF52F43-C5FD-42EB-967C-4DD4293FB0E4~L0~001.jpeg; 2269F3BE-A14E-44A4-AA97-AD5FE5E6B987~L0~001.jpeg,00C6369A-7C0D-4F14-9E91-B5AFC8B61907.jpg; 9B3245BF-51D0-4920-AC00-A623C213EB93.jpg,2021-10-23,,Defence of life or property ,Yes,Yes,150303
rec-7f7603246f2841ae80cab6f329e90483,,Honey,38738,No,Yellow,4310,,,,F,,2017-07-18 11:00,"East Kootenay C BC, Canada",49.52767,-115.467845,"East Kootenay C BC, Canada [49.527670,-115.467845]","Pat Stent, Jeff Scott",,,2017-07-18,,Defence of life or property ,Yes,Yes,137206
rec-53c4f411aa544e5a8f5a2b11256146bd,,Kramer,,No,Black,89,Black,89,,M,,2020-05-13 12:34,"1745 Bolen Rd, East Kootenay B BC, Canada",49.394746,-115.308072,"1745 Bolen Rd, East Kootenay B BC, Canada [49.394746,-115.308072]","Ryan Gordon, Trish Burley",,,2020-05-13,,Defence of life or property ,Yes,Yes,127742
rec-a0f968ce4ad24b078f1e0698d9ad1653,,Lily,18495,Yes,Black,54,Black,54,01417ECB-F7AE-4213-9103-2EFE08377C13.jpg,F,,2017-05-22 12:56,"4077 Cokato Rd, East Kootenay A BC, Canada",49.472554,-115.061402,"4077 Cokato Rd, East Kootenay A BC, Canada [49.472554,-115.061402]",Clayton Lamb,,,2017-05-21,114F12A8-9399-4B80-A706-15D31D8B4835.jpg,Defence of life or property ,No,Yes,127674
rec-b72d17b6752e40c6a298d44ba7afe536,,Matt,,No,Black,79,Black,79,,M,,2019-09-27 0:30,"2600–2998 Steeples Rd, East Kootenay C BC, Canada",49.516892,-115.465252,"2600–2998 Steeples Rd, East Kootenay C BC, Canada [49.516892,-115.465252]",Denny Chrétien ,,,2019-09-27,,Defence of life or property ,Yes,Yes,142373
rec-08245c884f3c4aafb0a985e5f0c6a2a3,,Melissa,39689,Yes,Black,73,Black,73,,F,1,2021-10-05 12:38,"49.9192917,-114.9229403",49.936002,-114.911755,"49.9192917,-114.9229403 [49.936002,-114.911755]",Clayton Lamb,IMG_8014.heic; IMG_8031.heic; 8A79D20B-A441-4EE5-8E58-1A081C7228C2.JPG; D25ACFC6-6C6A-4CAF-B86A-559AFC0A4959.JPG; 862516FB-CDBA-4515-95D4-C349579D06C4.JPG,90ED182C-A1D5-4E2C-9745-9FD1E5ED088D.jpg; 6E5B272B-5CD2-4CC6-A014-E069088FAB25~L0~001.jpeg; 3C5E0FC7-8928-458C-AF02-E82381987484~L0~001.jpeg; 3784526C-1012-4094-8C8E-D177C4462727~L0~001.jpeg,2021-10-03,,Defence of life or property ,No,No,150301
rec-9653cc6041ca465f99df263774279418,,Ryan ,15107,Yes,Black,55,Black,55,,M,,2017-05-15 9:02,"East Kootenay A BC, Canada",49.79156,-114.890906,"East Kootenay A BC, Canada [49.791560,-114.890906]",Frank Deboon,,,2017-05-14,,Defence of life or property ,No,Yes,127673
rec-48ef51fd927b4338a619be3b72f54ffe,,Sheena,38739,Yes,,,Yellow,4486,,F,,2015-10-14 17:00,"East Kootenay A BC, Canada",49.570929,-115.005147,"East Kootenay A BC, Canada [49.570929,-115.005147]",Joe Garay,,,2015-09-30,,Defence of life or property ,No,No,127132
