form_record_id,parent_form_id,parent_field_id,parent_record_id,Set,Removed,Number of Signs
rec-31a393a94a474e6698d27544ed7fcd9c,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-da87856ce1c74265bcd6353abdc25179,2018-05-10,2018-05-22,
rec-16f06400466d4d0eae1462217e5214c3,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-da87856ce1c74265bcd6353abdc25179,2019-09-20,2019-09-25,
rec-8e905036f9964a7b9e572e741259637d,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-da87856ce1c74265bcd6353abdc25179,2020-09-18,2020-09-27,4
rec-50b6f31bf350473e9ac32d49a4734d5b,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-da87856ce1c74265bcd6353abdc25179,2021-09-23,2021-09-27,3
rec-1412af98e9994972b4479720ab524d66,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-c9d5820e48824d65b9ae9a2f95ab4392,2018-05-08,2018-05-22,
rec-8e425769de0c4596bbf321b02852a10e,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-2f8ec6551f194927939472eb247742a2,2016-09-23,2020-10-03,
rec-bc21c29463884c939d4c0418f4b0854d,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-2f8ec6551f194927939472eb247742a2,2018-09-27,2018-09-29,
rec-82085f0fed2146eda0060ec358c21249,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-9d526ff4674140f3975eca8c1eb1a11c,2018-05-16,2018-05-23,
rec-4d821095af094a718c72cb26a1c5bfa5,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-5f85ed67de0c43ea93333322c0477304,2018-05-03,2018-05-22,
rec-5a317bd7478446738c67e28f105f02d5,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-51dc18b3e8264f8487a322b5db897eb4,2016-09-25,2016-09-30,
rec-5624609334014a7390aa46e10a05a598,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-7bd51cc55289490b96d60526eb405021,2021-09-17,2021-09-27,2
rec-d5fa2c0f2a534085bedee025f97d4d08,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-2721c88877ec41d4971f385ce878b791,2018-09-30,2018-10-02,
rec-d19fefd548e34c359c6d82dbd88042db,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-875e02c660b5484bac3397402c20fdd8,2019-09-11,2019-09-24,
rec-f07b38a23b954529987789eb5c1dc0c4,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-97fc7d29453446d0937d423ae06a5ae3,2021-09-19,2021-09-21,8
rec-d3f9a5fb6dde42ddb8f603924d5256fc,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-086dfa245b874ddca6cbd0a6ba122254,2018-09-19,2018-09-28,
rec-edeafd85186a43d89d6cd2ca184e612c,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-086dfa245b874ddca6cbd0a6ba122254,2019-09-11,2019-09-25,
rec-dd2e5ee58eeb4fac9885c18bbcd9c79c,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-086dfa245b874ddca6cbd0a6ba122254,2020-09-17,2020-09-29,5
rec-4562855264b9409a92b4e608d89cc439,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-048d74b861934bc1ae628763fb002499,2016-09-24,2016-09-30,
rec-f10994ad089b4bf8936a115f7ec89143,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-6ac101965ade48dbb374284ac9bef8fa,2019-09-18,2019-09-18,
rec-371e72bda95e45f19807a56744a8834c,frm-b7c92b5e6dff475ebabf76a73fab0792,fld-2bbcc6f4d7a245079529eb22f132a5ac,rec-7a0766e6418b42a789941a4638d69664,2021-09-16,2021-09-22,2
