"","Study Area","Site","Trap Type Code","Trap Type Name","Grid Cell","UTM Zone","Easting","Northing","Longitude","Latitude","General Location","Site Comments","Session","Session Start Date","Visit Start Date","Visit End Date","Nights Deployed","Bait Used","Surveyor","Site Visit Comments","Sample Label","Sample Group","Barb Number","Sample Material","Sample Micro-location","Species Guess","Sample Is Incidental","Species","Species ID Method","Animal ID","Sex","Sample Comment"
"1","Flathead","100A","HR-BA-BS","Hair - barbed wire at bait station",100,11,701283,5438989,-114.24401,49.07084,NA,"Set and checked by truck","FH2007 Session 1","2007-06-12","2007-06-01","2007-06-13",12,NA,"R. Munro","","15006-1a","a",NA,"HA","W","","N","MAMMALIA","","","","unextracted; on barb on coil"
"2","Flathead","100A","HR-BA-BS","Hair - barbed wire at bait station",100,11,701283,5438989,-114.24401,49.07084,NA,"Set and checked by truck","FH2007 Session 1","2007-06-12","2007-06-01","2007-06-13",12,NA,"R. Munro","","15006-2a","a",NA,"HA","W","","N","M-URAM","DNA","","","Xblack;"
"3","Flathead","100A","HR-BA-BS","Hair - barbed wire at bait station",100,11,701283,5438989,-114.24401,49.07084,NA,"Set and checked by truck","FH2007 Session 1","2007-06-12","2007-06-01","2007-06-13",12,NA,"R. Munro","","15006-3x","x",NA,"HA","W","","N","M-URAM","DNA","","","Xblack;"
"4","Flathead","100A","HR-BA-BS","Hair - barbed wire at bait station",100,11,701283,5438989,-114.24401,49.07084,NA,"Set and checked by truck","FH2007 Session 1","2007-06-12","2007-06-01","2007-06-13",12,NA,"R. Munro","","15006-4x","x",NA,"HA","W","","N","M-URAM","DNA","","","Xblack;"
"5","Flathead","100A","HR-BA-BS","Hair - barbed wire at bait station",100,11,701283,5438989,-114.24401,49.07084,NA,"Set and checked by truck","FH2007 Session 1","2007-06-12","2007-06-01","2007-06-13",12,NA,"R. Munro","","15006-5x","x",NA,"HA","W","","N","M-URAM","DNA","","","Xblack;"
"6","Flathead","100A","HR-BA-BS","Hair - barbed wire at bait station",100,11,701283,5438989,-114.24401,49.07084,NA,"Set and checked by truck","FH2007 Session 1","2007-06-12","2007-06-01","2007-06-13",12,NA,"R. Munro","","15006-7s","s",NA,"HA","P","","N","M-URAM","DNA","","","Xblack;"
"7","Flathead","100A","HR-BA-BS","Hair - barbed wire at bait station",100,11,701283,5438989,-114.24401,49.07084,NA,"Set and checked by truck","FH2007 Session 1","2007-06-12","2007-06-01","2007-06-13",12,NA,"R. Munro","","15006-9s","s",NA,"HA","P","","N","M-URAM","DNA","","","Xblack;"
"8","Flathead","100A","HR-BA-BS","Hair - barbed wire at bait station",100,11,701283,5438989,-114.24401,49.07084,NA,"Set and checked by truck","FH2007 Session 1","2007-06-12","2007-06-01","2007-06-13",12,NA,"R. Munro","","15006-8s","s",NA,"HA","P","","N","MAMMALIA","","","","unextracted;"
"9","Flathead","100A","HR-BA-BS","Hair - barbed wire at bait station",100,11,701283,5438989,-114.24401,49.07084,NA,"Set and checked by truck","FH2007 Session 1","2007-06-12","2007-06-01","2007-06-13",12,NA,"R. Munro","","15006-10s","s",NA,"HA","P","","N","MAMMALIA","","","","unextracted;"
"10","Flathead","100A","HR-BA-BS","Hair - barbed wire at bait station",100,11,701283,5438989,-114.24401,49.07084,NA,"Set and checked by truck","FH2007 Session 1","2007-06-12","2007-06-01","2007-06-13",12,NA,"R. Munro","","15006-6s","s",NA,"HA","P","","N","MAMMALIA","","","","unextracted;"
"11","Flathead","100B","HR-BA-BS","Hair - barbed wire at bait station",100,11,706088,5443777,-114.17586,49.11226,NA,"Set and checked by helicopter","FH2007 Session 2","2007-06-26","2007-06-14","2007-06-28",14,NA,"A. Lorincz","bait pile disturbed a bit","15148-2a","a",NA,"HA","W","M-URAM","N","M-URAM","DNA","","","Xblack;"
"12","Flathead","100B","HR-BA-BS","Hair - barbed wire at bait station",100,11,706088,5443777,-114.17586,49.11226,NA,"Set and checked by helicopter","FH2007 Session 2","2007-06-26","2007-06-14","2007-06-28",14,NA,"A. Lorincz","bait pile disturbed a bit","15148-4t","t",NA,"HA","T","M-URAM","N","M-URAM","DNA","","","Xblack;"
"13","Flathead","100B","HR-BA-BS","Hair - barbed wire at bait station",100,11,706088,5443777,-114.17586,49.11226,NA,"Set and checked by helicopter","FH2007 Session 2","2007-06-26","2007-06-14","2007-06-28",14,NA,"A. Lorincz","bait pile disturbed a bit","15148-1a","a",NA,"HA","W","M-URAM","N","MAMMALIA","","","","unextracted;"
"14","Flathead","100B","HR-BA-BS","Hair - barbed wire at bait station",100,11,706088,5443777,-114.17586,49.11226,NA,"Set and checked by helicopter","FH2007 Session 2","2007-06-26","2007-06-14","2007-06-28",14,NA,"A. Lorincz","bait pile disturbed a bit","15148-3x","x",NA,"HA","W","M-URAM","N","M-URAM","DNA","","","Xblack;"
"15","Flathead","100C","HR-BA-BS","Hair - barbed wire at bait station",100,11,706426,5439274,-114.17354,49.07169,NA,"Set and checked by truck","FH2007 Session 3","2007-07-10","2007-06-27","2007-07-11",14,NA,"R. Munro","","15049-10x","x",NA,"HA","W","","N","M-URAM","DNA","","","Xblack;"
"16","Flathead","100C","HR-BA-BS","Hair - barbed wire at bait station",100,11,706426,5439274,-114.17354,49.07169,NA,"Set and checked by truck","FH2007 Session 3","2007-07-10","2007-06-27","2007-07-11",14,NA,"R. Munro","","15049-6b","b",NA,"HA","W","","N","M-URAM","DNA","","","Xblack;"
"17","Flathead","100C","HR-BA-BS","Hair - barbed wire at bait station",100,11,706426,5439274,-114.17354,49.07169,NA,"Set and checked by truck","FH2007 Session 3","2007-07-10","2007-06-27","2007-07-11",14,NA,"R. Munro","","15049-2a","a",NA,"HA","W","","N","MAMMALIA","","","","Xinadequate;"
