#session,id,occassion,detector,sex
2012,10096,2,s0636,M
2012,10281,3,s0765,F
2012,10397,1,s0807,F
2012,10397,1,s0808,F
2012,10397,2,s0808,F
2012,10480,1,s0643,M
2012,10512,1,s0721,M
2012,10512,1,s0818,M
2012,10512,5,s0807,M
2012,10744,4,s0403,F
2012,10780-b,3,s0308,F
2012,10780-b,3,s0933,F
2012,11478,2,s0807,F
2012,11478,2,s0808,F
2012,11537,1,s0807,M
2012,11537,2,s0807,M
2012,11537,5,s0807,M
2012,11615,1,s0762,M
2012,11621,1,s0807,M
2012,148,2,s0139,M
2012,148,2,s0765,M
2012,148,3,s0139,M
2012,2997,2,s0358,M
2012,2997,2,s0471,M
2012,3165,1,s0301,M
2012,3165,2,s0302,M
2012,3578,1,s0759,M
2012,3578,2,s0759,M
2012,3890,2,s0643,M
2012,3890,2,s0765,M
2012,3890,3,s0643,M
2012,3890,3,s0766,M
2012,4951,3,s0808,M
2012,4951,5,s0762,M
2012,4951,5,s0763,M
2012,5441,2,s0357,M
2012,5441,2,s0359,M
2012,5441,2,s0721,M
2012,5441,3,s0357,M
2012,5814,1,s0139,M
2012,5963,2,s0763,M
2012,5963,4,s0763,M
2012,5963,4,s0817,M
2012,5EVSA-F15,4,s0308,F
2012,641,2,s0640,F
2012,641,4,s0640,F
2012,644,2,s0643,M
2012,667,2,s0639,M
2012,7040,4,s0721,M
2012,8804-b,4,s0143,F
2012,8807-b,1,s0143,M
2012,8807-b,2,s0339,M
2012,8807-b,3,s0339,M
2012,8807-b,3,s0340,M
2012,8807-b,4,s0160,M
2012,9067,2,s0807,M
2012,9547,1,s0807,F
