#session,id,occassion,detector,sex
2017,10397,4,s0639,F
2017,10549EV,5,s0765,M
2017,10738-a,4,s0301,F
2017,10738-a,4,s0308,F
2017,10738-a,4,s0312,F
2017,10744,4,s1211,F
2017,10744,4,s1212,F
2017,10744,4,s1218,F
2017,10744,5,s1091,F
2017,10794-b,1,s1214,F
2017,11513,1,s1218,M
2017,11513,4,s1217,M
2017,11513,5,s1217,M
2017,11888,5,s1220,M
2017,13252,5,s1228,F
2017,13253,5,s1151,M
2017,13615,5,s1060,F
2017,13647,3,s0312,F
2017,13647,3,s1028,F
2017,13655,2,s0195,F
2017,13655,4,s1029,F
2017,13696,2,s0359,F
2017,14489,4,s1196,M
2017,14637,1,s1254,M
2017,14696,4,s1200,F
2017,148,1,s0143,M
2017,148,1,s1213,M
2017,148,1,s1218,M
2017,148,2,s1058,M
2017,148,2,s1061,M
2017,148,2,s1064,M
2017,148,3,s1059,M
2017,148,3,s1060,M
2017,148,4,s1212,M
2017,148,5,s1059,M
2017,148,5,s1203,M
2017,14948,3,s0762,F
2017,14948,3,s1071,F
2017,14948,3,s1179,F
2017,14948,4,s0762,F
2017,14948,4,s0873,F
2017,14948,5,s0764,F
2017,14948,5,s1071,F
2017,14948,5,s1079,F
2017,14963,1,s1064,M
2017,14963,1,s1211,M
2017,14963,1,s1368,M
2017,14963,2,s1065,M
2017,14963,2,s1066,M
2017,14963,5,s1056,M
2017,14963,5,s1058,M
2017,14963,5,s1066,M
2017,15120-9t,3,s0143,F
2017,16323,4,s0317,F
2017,18071,2,s1250,F
2017,18071,3,s1250,F
2017,18071,3,s1254,F
2017,18184,2,s1059,M
2017,18184,3,s1061,M
2017,18201,1,s1091,F
2017,18201,4,s1218,F
2017,18201,5,s1211,F
2017,18201,5,s1212,F
2017,18248,2,s0705,F
2017,18387,3,s1241,M
2017,19478,4,s0195,M
2017,19866,2,s0357,M
2017,19866,2,s0360,M
2017,19866,4,s0357,M
2017,19866,4,s0360,M
2017,19866,4,s1018,M
2017,19866,4,s1198,M
2017,19866,5,s0360,M
2017,19866,5,s1018,M
2017,20153,3,s0314,M
2017,20163,3,s0638,F
2017,20163,3,s0759,F
2017,20163,4,s0638,F
2017,20174,2,s1226,F
2017,20324,1,s0243,M
2017,20421,1,s0311,M
2017,20720,5,s1073,F
2017,20828,4,s1175,M
2017,21220,5,s1368,M
2017,21244,5,s1218,M
2017,21248,5,s1218,F
2017,21424,5,s1202,F
2017,21428,5,s1064,F
2017,21428,5,s1065,F
2017,21872,4,s1234,F
2017,21962,2,s1076,F
2017,21962,3,s1075,F
2017,260,2,s1254,M
2017,3165,1,s1235,M
2017,3825,3,s1073,F
2017,452,1,s0355,F
2017,452,1,s0357,F
2017,452,2,s0347,F
2017,452,2,s0353,F
2017,4520,4,s0195,F
2017,4520,4,s0311,F
2017,4875,1,s0145,M
2017,4875,1,s1056,M
2017,4875,4,s0143,M
2017,4875,4,s1056,M
2017,4875,5,s0143,M
2017,5338,1,s0762,M
2017,5338,1,s1074,M
2017,5338,1,s1075,M
2017,5338,2,s0764,M
2017,5338,2,s1073,M
2017,5338,2,s1075,M
2017,5338,2,s1076,M
2017,5338,4,s1240,M
2017,5338,5,s1079,M
2017,5441,1,s0352,M
2017,5441,1,s0471,M
2017,5441,1,s1214,M
2017,5441,1,s1215,M
2017,5441,4,s1218,M
2017,5560,1,s0308,F
2017,5560,1,s1028,F
2017,5560,1,s1175,F
2017,5560,2,s0311,F
2017,5560,2,s1029,F
2017,5560,3,s0195,F
2017,5560,3,s0308,F
2017,5560,3,s0314,F
2017,5560,3,s1233,F
2017,5560,3,s1235,F
2017,5560,3,s1239,F
2017,5560,4,s0306,F
2017,5560,4,s0308,F
2017,5560,4,s0317,F
2017,5560,4,s1028,F
2017,5560,4,s1175,F
2017,5560,4,s1232,F
2017,5560,4,s1239,F
2017,5814,2,s0193,M
2017,5983,5,s1214,M
2017,5983,5,s1215,M
2017,6276,2,s0765,M
2017,6325,5,s1360,F
2017,7040,4,s1235,M
2017,7305,5,s1359,F
2017,7396,1,s1059,M
2017,7522,5,s1086,M
2017,7evas-F16,1,s1239,F
2017,7evas-F16,2,s1028,F
2017,8809-e,1,s0193,M
2017,8809-e,1,s0765,M
2017,9547,5,s1086,F
2017,BMA5-622,3,s1359,F
2017,cl-Bailey,1,s0763,F
2017,cl-Bailey,3,s0873,F
2017,cl-Bailey,4,s0470,F
2017,cl-Sue,1,s0643,F
2017,cl-Sue,3,s0643,F
2017,cl-Sue,4,s0640,F
2017,cl-Sue,5,s1201,F
2017,cl-Trish,4,s1227,F
2017,cl-Trish,5,s1228,F
2017,SA4659,1,s0240,M
2017,SA4659,1,s1056,M
2017,SA4659,1,s1058,M
2017,SA4659,1,s1065,M
2017,SA4659,1,s1066,M
2017,SA4659,2,s0240,M
2017,SA4659,3,s0240,M
2017,SA9334,4,s0143,F
2017,SAR1348,1,s1059,M
2017,SAR2143,1,s0139,M
