#session,id,occassion,detector,sex
2020,10397,3,s1399,F
2020,10738-a,4,s0308,F
2020,10738-a,5,s0301,F
2020,10738-a,5,s0308,F
2020,10744,2,s1211,F
2020,10744,3,s1211,F
2020,10744,3,s1213,F
2020,10744,5,s1091,F
2020,10794-b,4,s1218,F
2020,11478,5,s1366,F
2020,13253,2,s1410,M
2020,13655,2,s0311,F
2020,13736,3,s1366,M
2020,13736,4,s1084,M
2020,13883,3,s1420,F
2020,13931,2,s1056,F
2020,14637,3,s1073,M
2020,14637,5,s1194,M
2020,14795-2a,4,s0143,F
2020,14795-2a,4,s0145,F
2020,14795-30r,2,s0639,M
2020,148,3,s1056,M
2020,148,3,s1217,M
2020,148,5,s1211,M
2020,14830,2,s1254,M
2020,14830,3,s1250,M
2020,14855,2,s0357,M
2020,14855,5,s1419,M
2020,14948,2,s1070,F
2020,14948,2,s1419,F
2020,14948,4,s1194,F
2020,14948,4,s1201,F
2020,14948,4,s1418,F
2020,14948,5,s0762,F
2020,14948,5,s0764,F
2020,14948,5,s1070,F
2020,16323,3,s1029,F
2020,16323,3,s1183,F
2020,16323,4,s0314,F
2020,16758,4,s1357,M
2020,16760,5,s1022,F
2020,17133,2,s0762,M
2020,17133,2,s0764,M
2020,17626,5,s1419,F
2020,18184,5,s0143,M
2020,18248,2,s0193,F
2020,18248,4,s0765,F
2020,18883,2,s0759,M
2020,18883,3,s0759,M
2020,19454,5,s1274,F
2020,19619,2,s0314,F
2020,19619,2,s1232,F
2020,19619,4,s1175,F
2020,19619,5,s0195,F
2020,19619,5,s0317,F
2020,19866,4,s0357,M
2020,19919,2,s0312,F
2020,19919,3,s1239,F
2020,19919,4,s0195,F
2020,20153,3,s0312,M
2020,20174,3,s0572,F
2020,20174,4,s0572,F
2020,20174,5,s0572,F
2020,21872,3,s0301,F
2020,22631,2,s0765,M
2020,23039,3,s1216,F
2020,23087,3,s0340,F
2020,23862,2,s1194,M
2020,23862,3,s1084,M
2020,24599,2,s1064,M
2020,24599,2,s1420,M
2020,24599,5,s1421,M
2020,25995,3,s1028,F
2020,26451,2,s1073,M
2020,26451,2,s1074,M
2020,26451,2,s1075,M
2020,26451,2,s1079,M
2020,26451,3,s1076,M
2020,26761,5,s1096,M
2020,28851,5,s1410,M
2020,29555,2,s1086,M
2020,29729,5,s0240,M
2020,30765,3,s0762,M
2020,30765,4,s1077,M
2020,30765,5,s1071,M
2020,30782,3,s0873,F
2020,30782,5,s1179,F
2020,30873,5,s1361,F
2020,30998,4,s1227,M
2020,31566,4,s1358,F
2020,31947,3,s1270,F
2020,31974,3,s1065,F
2020,32017,3,s1357,F
2020,32017,3,s1358,F
2020,32027,4,s1422,M
2020,32215,5,s1400,F
2020,32263,4,s0317,M
2020,32749,2,s0403,M
2020,32749,4,s0415,M
2020,3825,4,s1073,F
2020,3825,4,s1074,F
2020,4456,3,s1085,M
2020,4589,2,s1368,M
2020,4875,3,s0143,M
2020,4875,5,s0160,M
2020,5421,5,s1064,F
2020,5560,3,s0195,F
2020,5983,2,s1175,M
2020,6276,2,s1077,M
2020,6276,4,s1283,M
2020,6357,2,s1361,M
2020,641,5,s0765,F
2020,7078,2,s1028,M
2020,7251,2,s1058,M
2020,7251,2,s1066,M
2020,7251,2,s1406,M
2020,7251,3,s1066,M
2020,7251,5,s1406,M
2020,7251,5,s1420,M
2020,9792,4,s1076,F
2020,cl-EVGF111,5,s1194,F
2020,cl-EVGF84,4,s1213,F
2020,cl-EVGF84,5,s1093,F
2020,cl-Melissa,4,s1070,F
2020,cl-Melissa,4,s1071,F
2020,cl-Melissa,5,s1418,F
2020,cl-Monica,5,s1228,F
2020,cl-Sue,2,s0643,F
2020,cl-Sue,5,s1283,F
2020,SA4409,2,s0340,F
2020,SA549,2,s0143,M
2020,SA549,2,s0160,M
2020,SA549,2,s0240,M
