#detector,X,Y,usage,trap
s0139,1812349,587174,29 35 30 23 0,/rt
s0143,1816719,567016,29 33 32 38 0,/rt
s0145,1817733,567109,29 33 32 38 0,/rt
s0160,1816699,567629,29 34 31 38 0,/rt
s0301,1784711,571160,29 30 36 33 0,/rt
s0302,1784321,570999,0 30 0 0 0,/rt
s0304,1783853,570766,0 0 30 0 0,/rt
s0306,1783672,568960,29 30 36 33 0,/rt
s0308,1783846,566260,29 30 36 33 0,/rt
s0315,1783809,565696,29 30 36 33 0,/rt
s0316,1784337,563826,29 0 0 0 0,/rt
s0317,1783828,565553,29 30 36 33 0,/rt
s0323,1783822,570593,0 0 30 0 0,/rt
s0339,1812739,566325,0 34 31 38 0,/rt
s0340,1813120,566989,0 34 31 38 0,/rt
s0347,1793797,590493,0 30 34 20 0,/rt
s0352,1792669,590604,0 30 34 20 0,/rt
s0355,1791294,591554,0 30 34 20 0,/rt
s0357,1790476,592417,0 29 34 20 0,/rt
s0358,1789940,594591,0 29 34 20 0,/rt
s0359,1790317,592874,0 29 34 20 0,/rt
s0360,1790567,592183,0 30 34 20 0,/rt
s0371,1783794,570442,29 30 36 33 0,/rt
s0403,1806531,581218,0 35 30 38 0,/rt
s0404,1795634,542661,29 0 30 21 0,/rt
s0414,1803536,574439,0 34 31 38 0,/rt
s0415,1803154,574312,29 34 31 38 0,/rt
s0471,1789358,595777,0 29 34 20 0,/rt
s0486,1783892,570944,29 30 36 33 0,/rt
s0487,1783673,568767,29 30 36 33 0,/rt
s0488,1784343,563823,29 0 0 0 0,/rt
s0570b,1805638,573284,0 34 0 0 0,/rt
s0571,1805632,573275,29 34 31 38 0,/rt
s0572,1804094,574248,29 34 31 38 0,/rt
s0636,1789469,625005,31 20 20 20 20,/rt
s0637,1791066,621545,31 21 20 21 20,/rt
s0638,1800386,617634,31 20 20 20 20,/rt
s0639,1800439,617621,31 20 20 20 20,/rt
s0640,1803319,596805,29 28 31 21 0,/rt
s0641,1803640,596074,29 28 31 21 0,/rt
s0642,1804124,595419,29 28 31 21 0,/rt
s0643,1805464,591691,29 28 31 21 0,/rt
s0644,1789748,603038,31 20 20 0 0,/rt
s0650,1802304,539863,29 35 28 35 0,/rt
s0705,1804009,600650,29 28 31 21 0,/rt
s0721,1786675,582948,29 20 42 35 0,/rt
s0751,1785320,580017,29 20 42 35 0,/rt
s0752,1786492,582011,29 20 42 35 0,/rt
s0759,1800170,617621,31 21 20 20 20,/rt
s0762,1790191,602996,31 22 20 20 20,/rt
s0763,1789221,603333,0 30 0 40 20,/rt
s0765,1804523,600988,29 28 31 21 0,/rt
s0766,1804769,602365,29 28 31 21 0,/rt
s0807,1790698,625156,11 10 10 20 10,/bs
s0808,1792799,620582,11 10 10 10 10,/bs
s0817,1789155,603335,0 0 0 31 20,/rt
s0818,1796672,618119,11 10 10 10 10,/bs
s0933,1783824,565661,0 0 30 0 0,/rt
s0934,1783827,565642,0 0 30 0 0,/rt
