encounter_id,encounter_date,species_name,encounter_locality,encounter_adults,encounter_young,encounter_lat,encounter_lng,attractant_names,enctype_name,outcome_name,group_code
356181,2021-12-30 08:34:27,GRIZZLY BEAR,FERNIE,1,0,49.5038889,-115.0627778,GARBAGE,SIGHTINGS,GONE ON ARRIVAL,COS
354976,2021-12-05 10:12:28,GRIZZLY BEAR,EVELYN,1,0,54.7788889,-127.1758333,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
354873,2021-12-03 09:26:56,GRIZZLY BEAR,-,1,0,53.913051,-122.7452849,LIVESTOCK,LIVESTOCK/PETS - KILLED/INJURED,ADVICE PROVIDED,COS
354734,2021-11-30 13:03:06,GRIZZLY BEAR,MARYSVILLE,1,0,49.6197109,-116.1334581,BIRD FEEDERS,SIGHTINGS,TRAP SET - NO CAPTURE,COS
354694,2021-11-29 17:58:00,GRIZZLY BEAR,KAMLOOPS,1,0,50.6755556,-120.3391667,,SIGHTINGS,ADVICE PROVIDED,COS
354681,2021-11-29 13:19:32,GRIZZLY BEAR,-,1,0,51.0830556,-127.4680556,GARBAGE,SIGHTINGS,ADVICE PROVIDED,COS
353934,2021-11-17 18:56:19,GRIZZLY BEAR,KITIMAT,1,0,54.0914369,-128.6137257,BARBEQUE,SIGHTINGS,ADVICE PROVIDED,COS
353781,2021-11-16 08:08:54,GRIZZLY BEAR,HOSMER,1,0,49.5647878,-115.0047952,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
353654,2021-11-14 08:24:58,GRIZZLY BEAR,ARMSTRONG,1,0,50.4553562,-119.1997966,GARBAGE,SIGHTINGS,ADVICE PROVIDED,COS
353487,2021-11-12 09:29:50,GRIZZLY BEAR,KITIMAT,1,0,54.0924763,-128.6174872,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
353482,2021-11-12 05:55:58,GRIZZLY BEAR,DAWSON CREEK,1,0,49.0074187,-118.4241149,LIVESTOCK,LIVESTOCK/PETS - KILLED/INJURED,ADVICE PROVIDED,COS
353357,2021-11-10 14:33:45,GRIZZLY BEAR,HASENSBORG,1,0,52.3941502,-126.4762816,NOT APPLICABLE,SIGHTINGS,OTHER,COS
353346,2021-11-10 12:30:00,GRIZZLY BEAR,WESTBRIDGE,1,0,49.1663889,-118.9677778,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
353306,2021-11-10 08:37:31,GRIZZLY BEAR,KIMBERLEY,1,0,49.634582,-116.0311174,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
353194,2021-11-09 08:11:27,GRIZZLY BEAR,KITIMAT,1,0,54.0530556,-128.6519444,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
353103,2021-11-08 09:15:05,GRIZZLY BEAR,TERRACE,1,0,54.5708577,-128.6550154,COMPOST,SIGHTINGS,ADVICE PROVIDED,COS
353088,2021-11-08 05:41:39,GRIZZLY BEAR,HAGENSBORG,1,0,52.3696411,-126.7533883,FREEZER,SIGHTINGS,TRAP SET - NO CAPTURE,COS
352946,2021-11-06 09:56:56,GRIZZLY BEAR,TERRACE,1,0,54.5405834,-128.6265374,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
352856,2021-11-05 12:46:28,GRIZZLY BEAR,KITIMAT,1,0,54.0926427,-128.6155961,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
352803,2021-11-04 21:38:49,GRIZZLY BEAR,KITIMAT,1,0,54.0916665,-128.6213465,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
352774,2021-11-04 14:42:04,GRIZZLY BEAR,KITIMAT,1,0,54.0530556,-128.6519444,GARBAGE,SIGHTINGS,NOT SPECIFIED,COS
352759,2021-11-04 13:13:21,GRIZZLY BEAR,,2,0,53.913051,-122.7452849,LIVESTOCK,LIVESTOCK/PETS - KILLED/INJURED,SHORT-DISTANCE RELOCATION,COS
352688,2021-11-03 12:32:57,GRIZZLY BEAR,HOSMER,1,0,49.5911498,-114.9644913,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
352583,2021-11-02 14:06:11,GRIZZLY BEAR,BELLA COOLA,1,0,52.3696411,-126.7533883,FREEZER,DAMAGE TO PROPERTY,OTHER,COS
352576,2021-11-02 13:54:43,GRIZZLY BEAR,SICAMOUS,1,0,50.9006976,-118.8760332,OTHER,FOOD CONDITIONED,ADVICE PROVIDED,COS
352180,2021-10-30 05:18:47,GRIZZLY BEAR,CRANBROOK,1,0,49.5077778,-115.7466667,WILDLIFE - HUNTER KILL,DEAD WILDLIFE,DESTROYED BY OTHER,COS
352093,2021-10-29 09:35:48,GRIZZLY BEAR,FORT BABINE,1,0,55.3177778,-126.6247222,,SIGHTINGS,NOT SPECIFIED,COS
352502,2021-10-28 14:11:00,GRIZZLY BEAR,SECHELT,1,0,49.4713889,-123.7630556,,SIGHTINGS,ADVICE PROVIDED,COS
352374,2021-10-28 13:15:00,GRIZZLY BEAR,HAGENSBORG,2,0,52.3916673,-126.5500188,FREEZER,DAMAGE TO PROPERTY,SHORT-DISTANCE RELOCATION,COS
351994,2021-10-28 09:50:36,GRIZZLY BEAR,MEADOW CREEK,1,0,50.2330556,-116.9844444,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
351988,2021-10-28 09:25:00,GRIZZLY BEAR,FORT BABINE,1,0,55.3174953,-126.6256962,,SIGHTINGS,GONE ON ARRIVAL,COS
351970,2021-10-28 03:00:00,GRIZZLY BEAR,TERRACE,1,0,54.5161111,-128.5994444,,DEAD WILDLIFE,DESTROYED BY OTHER,COS
351952,2021-10-27 21:16:14,GRIZZLY BEAR,CASTLEGAR,1,0,49.2851242,-117.6383955,RESIDENTIAL - FRUIT TREES/BERRIES,SIGHTINGS,ADVICE PROVIDED,COS
351929,2021-10-27 17:29:37,GRIZZLY BEAR,SQUAMISH,1,0,49.6977778,-123.1555556,NOT APPLICABLE,DEAD WILDLIFE,NOT SPECIFIED,COS
351866,2021-10-27 09:04:00,GRIZZLY BEAR,KITIMAT,1,2,54.0530556,-128.6519444,,SIGHTINGS,OTHER,COS
351725,2021-10-26 10:01:00,GRIZZLY BEAR,BLUEBERRY CREEK,1,0,49.2484261,-117.6558547,RESIDENTIAL - FRUIT TREES/BERRIES,SIGHTINGS,ADVICE PROVIDED,COS
351708,2021-10-26 08:57:06,GRIZZLY BEAR,FORT BABINE,1,0,55.3174953,-126.6256962,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
351658,2021-10-26 04:21:12,GRIZZLY BEAR,FORT BABINE,1,0,55.3182787,-126.6249029,"WILDLIFE - HUNTER KILL, OTHER",SIGHTINGS,NOT SPECIFIED,COS
351596,2021-10-25 11:11:19,GRIZZLY BEAR,CASTLEGAR -,1,0,49.3241667,-117.6666667,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
351550,2021-10-25 08:20:13,GRIZZLY BEAR,KITMAT -,3,0,54.0530556,-128.6519444,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
351548,2021-10-25 07:45:00,GRIZZLY BEAR,ELSWORTH CAMP,1,0,56.0137371,-129.1124965,GARBAGE,SIGHTINGS,ADVICE PROVIDED,COS
351485,2021-10-24 12:28:14,GRIZZLY BEAR,ATLIN,1,2,59.5663889,-133.7019444,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
351392,2021-10-23 12:49:27,GRIZZLY BEAR,SAVONA,1,0,50.7497222,-120.8344444,WILDLIFE - HUNTER KILL,DEAD WILDLIFE,NOT SPECIFIED,COS
351338,2021-10-22 23:02:14,GRIZZLY BEAR,BELLA COOLA,1,0,52.3624526,-126.7142532,GARBAGE,FOOD CONDITIONED,OTHER,COS
351275,2021-10-22 11:57:48,GRIZZLY BEAR,GENELLE,1,0,49.21277,-117.6845712,RESIDENTIAL - FRUIT TREES/BERRIES,SIGHTINGS,ADVICE PROVIDED,COS
351249,2021-10-22 09:19:10,GRIZZLY BEAR,HOSMER,1,0,49.5830556,-114.9508333,OTHER,AGGRESSIVE,DESTROYED BY COS,COS
351248,2021-10-22 09:04:50,GRIZZLY BEAR,CRANBROOK,1,0,49.5077778,-115.7466667,LIVESTOCK,LIVESTOCK/PETS - KILLED/INJURED,ADVICE PROVIDED,COS
